"doc_id","text"
1,"عاجل | رئيس جبهة الخلاص الوطني في #تونس: ندعو لتشكيل حكومة إنقاذ وطني تجمع كلمة التونسيين"
2,"عاجل | مراسل #الجزيرة: عمليات تخريب خلال مواجهات بين قوات الأمن الفرنسية ومحتجين على مقتل 3 أكراد في هجوم باريس"
3,"عاجل | غازبروم: انخفاض صادرات الغاز للبلدان خارج رابطة الدول المستقلة بمعدل 44.5% خلال الأشهر العشرة الأخيرة"
4,"عاجل | رويترز عن مصادر: حزمة المساعدات الأمريكية الجديدة تتيح لأوكرانيا قدرات لهزيمة المسيرات وتعزيز دفاعاتها الجوية"
5,"عاجل | إعلان الطوارئ في ولاية جنوب دارفور وحظر التجوال في محافظة بليل إثر اندلاع أعمال عنف قبلي"
6,"عاجل | رويترز: الأمريكية سارة كريفانيك التي أمرت السلطات الروسية بترحيلها على خلفية نزاع أسري تقول إنها غادرت روسيا"
7,"عاجل | الدفاع الروسية: توجيه ضربات لأنظمة التحكم العسكري والمجمع الصناعي الدفاعي ومرافق الطاقة في أوكرانيا"
8,"عاجل | وزير الخارجية الروسي: الدول الأوروبية أصبحت غير قادرة على حماية مصالحها"
9,"عاجل | البيت الأبيض: الرئيس بايدن يفوض وزير الخارجية بتقديم مساعدات أمنية لأوكرانيا بقيمة مليار دولار"
10,"عاجل | الكرملين: العلاقات الروسية الغربية وصلت إلى مرحلة المواجهة وعلينا التعايش مع هذه الظروف"
11,"عاجل | رئيس الفيفا: إقامة مباريات كأس العالم في نوفمبر وديسمبر له تأثير إيجابي"
12,"عاجل | وزير الخارجية الأمريكي: بريتني غرينر في طريقها إلى منزلها بعد أشهر من الاعتقال غير المشروع في روسيا"
13,"عاجل | وزارة الدفاع الروسية: تدمير ورش لصيانة أسلحة الجيش الأوكراني في مدينة كراماتورسك"
14,"عاجل | بوتين: يجب الاستفادة من خبرة قواتنا العسكرية التي عملت في #سوريا"
15,"عاجل | الكرملين: سقف الاتحاد الأوروبي لأسعار الغاز هجوم على آلية تحديد السوق للسعر وهو غير مقبول"
16,"عاجل | وكالة الأنباء الألمانية عن الأمين العام للنيتو: الدعم العسكري لأوكرانيا هو أسرع طريق للسلام"
17,"عاجل | الكرملين: لم تكن هناك دعوة سلام حقيقية من بايدن وزيلنسكي ولم يكن هناك تحذير من قصف المباني السكنية بدونباس"
18,"عاجل | البيت الأبيض: نعتقد أن وضع سقف لسعر النفط الروسي سيثبت سعره المخفض"
19,"عاجل | الكرملين: لدى روسيا وتركيا بعض الخلافات حول #سوريا لكن مستوى العلاقات بين البلدين يسمح بحلها من خلال المحادثات"
20,"عاجل | مصادر تركية للجزيرة: اجتماع موسكو بحث تصورا يضع حدا لوجود ما تعرف بقوات #سوريا الديمقراطية شمالي #سوريا"
21,"عاجل | أ.ب عن مسؤولين أمريكيين: المساعدات الجديدة لأوكرانيا هي الأضخم في سلسلة المعدات المقدمة من مخزون البنتاغون"
22,"عاجل | رئيس الوزراء الياباني: اليابان والولايات المتحدة تواجهان تحديات وبيئة أمنية معقدة"
23,"عاجل | أ.ف.ب عن مصادر أمنية مصرية: مقتل 3 من عناصر الشرطة باعتداء على حاجز أمني في مدينة الإسماعيلية شرقي #مصر"
24,"عاجل | رويترز: فشل أول محاولة أوروبية لإطلاق قمر صناعي من غرب القارة نتيجة خلل حال دون وصول الصاروخ إلى مداره"
25,"عاجل | مصادر رسمية تركية للجزيرة: أنقرة اشترطت عودة مؤسسات النظام السوري بدلا من ""قوات #سوريا الديمقراطية"""
26,"عاجل | الخارجية الروسية: شروع الاتحاد الأوروبي في إنشاء محكمة خاصة بروسيا تستر على تورطه في جرائم الحرب بأوكرانيا"
27,"عاجل | الرئاسة الأوكرانية: هناك نهاية واحدة للحرب بخسارة المعتدي ومعاقبته بقسوة"
28,"عاجل | قاض أمريكي يفرض على منظمة ترمب غرامة قدرها 1,6 مليون دولار بسبب التهرب الضريبي"
29,"عاجل | أمين عام حزب العمال التونسي: ديكتاتورية قيس سعيّد ستسقط مثلما سقطت ديكتاتورية بن علي"
30,"عاجل | رئيس الوزراء البريطاني: أمن الطاقة في بلادنا يتطلب منع الشركات الصينية من المشاركة في مشاريعنا"
31,"عاجل | مستشار الرئيس الأوكراني: الاختراقات في العمق الروسي تعكس فقدان سيطرة موسكو على مناطق العمليات بأوكرانيا"
32,"عاجل | أسوشييتد برس: البحرية التايلاندية تقول إن 31 بحارا ما زالوا في المياه بعد غرق السفينة الحربية في خليج تايلاند"
33,"عاجل | محامي شبكة #الجزيرة: على المحكمة الجنائية تحديد من شاركوا بشكل مباشر في اغتيال شيرين ومن أعطى الأوامر"
34,"عاجل | مسؤول حكومي للجزيرة: قتلى وجرحى في تفجير وقع داخل مدرسة دينية في ولاية سمنغان شمالي أفغانستان"
35,"عاجل | وزارة الدفاع الروسية: تدمير 4 مستودعات ذخيرة تابعة للقوات الأوكرانية في مقاطعة زابوروجيا"
36,"عاجل | البيان الختامي للقمة الخليجية: أشاد المجلس الأعلى بنتائج القمة الخليجية الأمريكية في إطار الشراكة الاستراتيجية"
37,"عاجل | سلطات الاحتلال تبلغ الجانب الفلسطيني باستشهاد الشاب الذي تعرض لإطلاق نار في بلدة حوارة جنوبي نابلس"
38,"عاجل | أسوشييتد برس عن حاكم نيويورك: ارتفاع عدد ضحايا العاصفة الثلجية التي تضرب الولاية إلى 12 قتيلا"
39,"عاجل | رئيس الوزراء السويدي: تركيا طلبت منا أشياء لا يمكن تلبيتها مقابل موافقتها على دعم انضمامنا للنيتو"
40,"عاجل | مراسل #الجزيرة: الجيش الإسرائيلي يعتقل يحيى السعدي نجل القيادي بحركة الجهاد الشيخ بسام السعدي من مخيم جنين"
41,"عاجل | رئيس الفيفا: إيرادات كأس العالم في #قطر بلغت 7.5 مليار دولار بزيادة مليار دولار عن النسخة السابقة"
42,"عاجل | الرئيس الأوكراني: الوضع في دونيتسك صعب ويتطلب مستوى جديدا من المساعدات العسكرية"
43,"عاجل | الدفاع الروسية: المقاتلات الروسية والصينية لم تخترق المجال الجوي لأي دول أخرى خلال الدوريات المشتركة"
44,"عاجل | وزارة الدفاع الكورية الجنوبية: سول وواشنطن عقدتا اجتماعا استشاريا أمنيا في نوفمبر من العام الماضي"
45,"عاجل | مستشار الأمن القومي الأمريكي: الولايات المتحدة لم تتلق أي طلب رسمي من الحكومة البرازيلية بشأن بولسونارو"
46,"عاجل | بوريل: الأمر الصادر عن بوتين بوقف إطلاق النار في أوكرانيا يفتقر للمصداقية"
47,"عاجل | السنوار: تقديراتنا الاستخبارية أننا سنكون عام 2023 أمام استحقاقات وطنية كبرى وعلى مقاومتنا الاستعداد لها"
48,"عاجل | رويترز: مقتل عسكري وإصابة آخر في تبادل لإطلاق النار في ثكنة تابعة لقاعدة جوية في بلدة فينر نويشتات النمساوية"
49,"عاجل | سلطات ولاية نيويورك الأمريكية: وفاة 25 شخصا في منطقة بوفالو غربي الولاية بسبب موجة البرد القارس"
50,"عاجل | ريا نوفوستي: غروسي سيناقش غدا في موسكو إمكانية إنشاء منطقة آمنة حول محطة زابوروجيا النووية"
51,"عاجل | الرئيس الأوكراني: مدينة باخموت الأوكرانية ما تزال صامدة رغم قصف المرتزقة المتواصل منذ مايو الماضي"
52,"عاجل | قادة الاتحاد الأوروبي يقررون منح البوسنة والهرسك صفة دولة مرشحة لعضوية الاتحاد"
53,"عاجل | نوفاك: روسيا تعيد توجيه واردات الطاقة للأسواق الأخرى والأولوية ستكون لدول آسيا وإفريقيا وأمريكا اللاتينية"
54,"عاجل | الدفاع الروسية: مقتل أكثر من 70 مرتزقا أجنبيا في دونيتسك وخاركيف"
55,"عاجل | مراسلة الجزير: وزير الأمن القومي الإسرائيلي إيتمار بن غفير يقتحم ساحات المسجد الأقصى"
56,"عاجل | بلينكن: دعمنا الجماعي لأوكرانيا ساعدها على شن هجمات مضادة وتحرير أراضيها"
57,"عاجل | الخارجية الأمريكية: السيطرة على بلدة سوليدار في حال صحتها تؤكد تحقيق موسكو مكاسب ضئيلة مقابل تكاليف باهظة"
58,"عاجل | بوريل: لا يزال الاتحاد الأوروبي ملتزما بتقديم الدعم العسكري لأوكرانيا وشركاء آخرين على حد سواء"
59,"عاجل | الصحة الفلسطينية: استشهاد فتاة تبلغ من العمر 16 عاما بنيران جنود الاحتلال خلال اقتحام مدينة جنين"
60,"عاجل | سلطات خاركيف الأوكرانية: قصف المنطقة الصناعية في المدينة بـ4 صواريخ روسية من  طراز إس-300"
61,"عاجل | عبد الفتاح البرهان: نتطلع لحكومة مدنية تحقق تطلعات الشعب السوداني"
62,"عاجل | الرئاسة الأوكرانية: زيلنسكي يزور باخموت على خط الجبهة شرقي البلاد"
63,"عاجل | الكرملين: الرئيسان الروسي والتركي ناقشا في اتصال هاتفي مشروعات الطاقة المشتركة خاصة في قطاع الغاز"
64,"عاجل | محامي شبكة #الجزيرة: نأمل أن تتحقق العدالة لشيرين ونحث المدعي العام على اتخاذ الإجراءات لمحاسبة المسؤولين"
65,"عاجل | واشنطن بوست عن مسؤولين أمريكيين: إدارة بايدن ستزود أوكرانيا بتقنية تسمح بتحويل الذخائر الجوية إلى قنابل ذكية"
66,"عاجل | مندوب #تركيا بمجلس الأمن: الحديث عن تأثير عملياتنا ضد حزب العمال الكردستاني على مواجهة تنظيم الدولة غير واقعي"
67,"عاجل | الخارجية الأمريكية: دعوة روسيا للهدنة مثيرة للسخرية بعد مهاجمتها البنية التحتية الأوكرانية يوم رأس السنة"
68,"عاجل | مراسل #الجزيرة عن مصدر أمني أفغاني: تفجير قرب مقر للشرطة في ولاية بدخشان شمالي البلاد"
69,"عاجل | رويترز عن الإدارة العسكرية في كييف: أسقطنا 9 طائرات مسيرة إيرانية الصنع في مجالنا الجوي"
70,"عاجل | مصادر تركية للجزيرة: الوفد الروسي أبلغنا موافقة ""قوات #سوريا الديمقراطية"" على المقترح شرط عدم حصول اجتياح تركي"
71,"عاجل | وزارة الدفاع الروسية: تدمير أكثر من 500 طائرة ومروحية للقوات الأوكرانية منذ بدء العملية العسكرية في أوكرانيا"
72,"عاجل | مساعد وزير الخارجية الإيراني للجزيرة: التهديدات الإسرائيلية لا تقلقنا ومستعدون للرد على أي اعتداء"
73,"عاجل | الأمين العام للاتحاد التونسي للشغل: أدعو للاستعداد لمعركة وطنية من أجل إنقاذ #تونس"
74,"عاجل | الجيش الأوكراني: قصف روسي يستهدف البنية التحتية في مقاطعة دنيبرو جنوبي أوكرانيا"
75,"عاجل | رويترز عن الأمين العام للنيتو: من الخطورة التقليل من شأن روسيا ونحتاج إلى مزيد من الجنود والذخائر والأسلحة"
76,"عاجل | مصدر تركي رسمي للجزيرة: لن نمدد المهلة الزمنية والبديل عن خروج ""قوات #سوريا الديمقراطية"" عملية عسكرية"
77,"عاجل | رئيس جبهة الخلاص في #تونس للجزيرة: لا خروج من الأزمة في #تونس إلا عبر قيادة سياسية جديدة ومن خلال صندوق الاقتراع"
78,"عاجل | أردوغان: إذا فشلت السويد في اتخاذ إجراءات إزاء حزب العمال الكردستاني قد يتصاعد التوتر في العلاقات"
79,"عاجل | سلطات مقاطعة زابوروجيا الأوكرانية: مقتل شخصين وإصابة آخرين في قصف روسي على المقاطعة"
80,"عاجل | قوى مدنية توقع على الاتفاق السياسي الإطاري مع مجلس السيادة السوداني"
81,"عاجل | مراسل #الجزيرة: دوي انفجارات في مقاطعة زابوروجيا جنوبي أوكرانيا"
82,"عاجل | الدفاع الروسية: مقتل 63 جنديا روسيا جراء هجوم صاروخي للقوات الأوكرانية على ماكييفكا في دونيتسك"
83,"عاجل | رئيس مجلس السيادة في #السودان: لن نتراجع عما اتفقنا عليه ولن يكون للقوات المسلحة أي دور في العملية الانتقالية"
84,"عاجل | رويترز: أردوغان يقول إنه يريد عقد اجتماع مع الرئيس السوري ويؤكد أن لدى بوتين نظرة إيجابية لهذا الأمر"
85,"عاجل | وسائل إعلام تركية: تحييد مسؤولة المخابرات في حزب العمال الكردستاني في عملية للاستخبارات التركية شمالي #العراق"
86,"عاجل | لافروف: اقترحنا توقيع اتفاقية بشأن الأمن الأوروبي وقد تم رفض ذلك"
87,"عاجل | شويغو: القوات المسلحة ستزيد من استخدام الطيران في مناطق عمليات الدفاع الجوي الجديدة للعدو"
88,"عاجل | البيان الختامي للقمة الصينية العربية: احترام حق الشعوب  في طرق تطويرها للديمقراطية ورفض التدخل في شؤونها"
89,"عاجل | البيت الأبيض: مباحثات بايدن ورئيس الوزراء الياباني ستشمل ملفات الصين وروسيا والبرنامج الصاروخي لكوريا الشمالية"
90,"عاجل | أردوغان: ننشئ حزاما أمنيا على طول حدودنا الجنوبية بأكملها من الغرب إلى الشرق في أقرب وقت ممكن"
91,"عاجل | نائب رئيس مكتب زيلنسكي: انقطاع الكهرباء عن خيرسون بشكل كامل بسبب القصف الروسي العنيف للبنية التحتية"
92,"عاجل | إدارة الطيران الفدرالية الأمريكية: نواصل البحث في سبب العطل الفني الذي أدى إلى تعطيل الحركة الجوية"
93,"عاجل | عمدة ميكولايف الأوكرانية: نحذر من هجوم صاروخي روسي واسع وندعو السكان إلى توخي الحذر"
94,"عاجل | الخارجية الصينية: المفاوضات الحالية بشأن الملف النووي الإيراني وصلت إلى مفترق طرق"
95,"عاجل | وزير الخارجية الأمريكي: بوتين وجه غضبه ونيرانه إلى المدنيين في أوكرانيا خلال الأسابيع الماضية"
96,"عاجل | سي إن إن عن مصادر: إطلاق سراح لاعبة كرة السلة الأمريكية  بريتني غرينر المحتجزة بروسيا في صفقة تبادل أسرى"
97,"عاجل | السلطات الأوكرانية في أوديسا: هجوم صاروخي روسي يستهدف البنية التحتية في المدينة جنوبي البلاد"
98,"عاجل | البعثة الأمريكية: لا يمكن أن تكون طالبان عضوا شرعيا في المجتمع الدولي حتى تحترم حقوق كل الأفغان وخاصة النساء"
99,"عاجل | مراسلة #الجزيرة: صافرات الإنذار تدوي في العاصمة الأوكرانية كييف بعد إعلان حالة الإنذار الجوي"
100,"عاجل | وسائل إعلام برازيلية: حاكم برازيليا يقرر إنزال جميع أفراد الشرطة إلى الشوارع لاحتواء المظاهرات"
101,"عاجل | رئيس الوزراء البريطاني: أصابني الذهول جراء إعدام المواطن البريطاني الإيراني علي رضا أكبري"
102,"عاجل | الدفاع الأمريكية: نحرص ألا تؤدي المساعدات التي نقدمها لأوكرانيا من مخزوناتنا إلى التأثير على جاهزيتنا"
103,"عاجل | البيت الأبيض تعليقا على الاحتجاجات في الصين: للمواطنين الحق في الاحتجاج السلمي ويجب عدم إعاقته أو التدخل فيه"
104,"عاجل | المتحدث باسم حركة النهضة التونسية: سياسة الهروب للأمام وفبركة السلطة قضايا للخصوم سياسة فاشلة"
105,"عاجل | وزير الخارجية الأوكراني: لا نرى أي مؤشرات على أن الجانب الروسي مستعد حقا للمفاوضات"
106,"عاجل | رويترز عن بيان للبنتاغون: أوستن يبلغ نظيره التركي معارضته الشديدة لعملية عسكرية تركية جديدة في #سوريا"
107,"عاجل | وول ستريت جورنال عن مصادر: الحرب في أوكرانيا سببت تأخير طلبات أسلحة أمريكية موجهة لتايوان بقيمة ١٩ مليار دولار"
108,"عاجل | رئيس مجموعة زوكونفت الألمانية: وضع سقف لأسعار الغاز وهم سياسي لا يمكن تنفيذه عمليا"
109,"عاجل | الخارجية الإيرانية: لسنا جزءا من الحرب بأوكرانيا والاتهامات ضدنا واهية"
110,"عاجل | المرشد الإيراني: الغرب يريد إسقاط النظام في #إيران ولن يتمكن من ذلك"
111,"عاجل | وزير الدفاع الأمريكي: نعمل على أن نكون قادرين على نشر قوات أمريكية في العالم بسرعة أكبر"
112,"عاجل | وزيرة الخارجية الألمانية: خاركيف هي رمز الجنون المطلق للحرب العدوانية الروسية على أوكرانيا"
113,"عاجل | بوريل: القوة المميتة لا يمكن تبريرها إلا في المواقف التي يوجد فيها تهديد خطير على الحياة"
114,"عاجل | الجيش الأمريكي: مقاتلة صينية اقتربت بشكل غير آمن من مقاتلة أمريكية يوم 21 ديسمبر فوق بحر جنوب الصين"
115,"عاجل | الخارجية الإيرانية: ندين بشدة العدوان الصهيوني على مطار #دمشق ونعتبره انتهاكا لسيادة #سوريا ووحدة أراضيها"
116,"عاجل | رئيس الفيفا: أعتبر أداء المنتخب المغربي في بطولة كأس العالم الحالية رائعا واستثنائيا"
117,"عاجل | وزير العدل الألماني: السلطات تنفذ منذ صباح اليوم عملية كبرى لمكافحة الإرهاب"
118,"عاجل | أ ب عن المتحدثة باسم الأمم المتحدة: لا يمكن للأمين العام التوسط بشأن أوكرانيا إلا إذا أرادت جميع الأطراف ذلك"
119,"عاجل | بايدن: يمكن للطائرات الهبوط بأمان لكن لا يمكنها الإقلاع بسبب العطل التقني"
120,"عاجل | الجمعية العامة للأمم المتحدة تعتمد قرارا يطلب فتوى محكمة العدل عن انتهاك إسرائيل حق الفلسطينيين بتقرير المصير"
121,"عاجل | أكسيوس عن البيت الأبيض: نتطلع إلى العمل مع إسرائيل لتعزيز المصالح والقيم التي كانت في صميم علاقتنا لعقود"
122,"عاجل | زيلنسكي: الروس يضغطون بكل إمكانياتهم ومواردهم لتحقيق بعض التقدم في جبهة دونباس"
123,"عاجل | المتحدثة باسم قيادة العمليات الجنوبية بالجيش الأوكراني للجزيرة: نتوقع أي عمل عدواني من بيلاروسيا ومستعدون لذلك"
124,"عاجل | منتخب #المغرب يتأهل لدور الثمانية في كأس العالم #قطر ٢٠٢٢ كأول منتخب عربي يبلغ هذا الدور"
125,"عاجل | رئيس هيئة الأركان الإيرانية: ردنا على أي هجوم عسكري علينا سيشمل المعتدي والبلد الذي انطلق منه الاعتداء"
126,"عاجل | بيونغ يانغ: من حقنا اتخاذ تدابير عسكرية حاسمة لحماية حقوقنا وسنظهر بالأفعال خطورة الخيارات اليابانية الأخيرة"
127,"عاجل | مصادر للجزيرة: بولندا تعطل حزمة العقوبات الأوروبية التاسعة على روسيا بسبب خلاف على أسماء تشملها العقوبات"
128,"عاجل | منظمة مراسلون بلا حدود: ندعو المدعي العام للمحكمة الجنائية إلى التحرك وفتح تحقيق بشأن اغتيال شيرين"
129,"عاجل | البيت الأبيض: الوثائق السرية التي عثر عليها في منزل الرئيس بايدن وضعت في مكان غير مناسب بشكل غير مقصود"
130,"عاجل | مدير الوكالة الدولية للطاقة الذرية: نحرز تقدما في جهود إنشاء منطقة آمنة حول محطة زابوروجيا للطاقة النووية"
131,"عاجل | الخارجية الأمريكية: إذا كانت روسيا جادة بشأن السلام وإنهاء الحرب فعليها سحب قواتها من الأراضي الأوكرانية"
132,"عاجل | مراسل #الجزيرة: سلطات الاحتلال الإسرائيلي ترحل الأسير صلاح الحموري إلى فرنسا بعد إلغاء إقامته في القدس"
133,"عاجل | بوتين: روسيا وبيلاروسيا ستواصلان إجراء التدريبات العسكرية المشتركة"
134,"عاجل | الأمين العام للنيتو: النظام الروسي يريد أوروبا مختلفة والتحكم في جيرانه ويرى في الديمقراطية خطرا عليه"
135,"عاجل | بيان أمريكي فرنسي مشترك: بايدن وماكرون يؤكدان أهمية وجود دفاع أوروبي قوي وأكثر فعالية"
136,"عاجل | أ.ف.ب عن متحدث باسم الخارجية الأمريكية: نحض بوتين على إنهاء الحرب في أوكرانيا في خطوة تالية للاعتراف بالواقع"
137,"عاجل | مديرة الاستخبارات الوطنية الأمريكية: سعي روسيا للحصول على ذخائر دقيقة من #إيران أمر مقلق للغاية"
138,"عاجل | البرهان للجزيرة: المجموعات التي ترفض الاتفاق الإطاري قد يكون لديها أجندة خارجية"
139,"عاجل | وزير الدفاع الأمريكي: على الكونغرس التصديق على تمويل الوزارة لسنة كاملة قبل نهاية 2022 لتتمكن من تنفيذ برامجها"
140,"عاجل | رئيس الفيفا: سعيد للغاية بالمستوى الرائع الذي وصلت إليه كرة القدم الإفريقية في مونديال #قطر"
141,"عاجل | مصدر أمني للجزيرة: اشتباك يدور بين مسلحين والقوات الأفغانية مع بدء تمشيط للمبنى المطل على سفارة باكستان بكابل"
142,"عاجل | الدفاع التركية: مقتل عسكريين اثنين في منطقة عمليات المخلب القفل شمالي #العراق وجرح ثلاثة آخرين"
143,"عاجل | حركة الجهاد الإسلامي وذراعها المسلح ""سرايا القدس"" تنعيان شهيدي جنين وتقولان إنهما من أبرز قادتهما الميدانيين"
144,"عاجل | الرئاسة الأوكرانية: الرئيس زيلنسكي اقترح خلال اتصاله الهاتفي مع الرئيس الأمريكي تنظيم قمة سلام عالمية"
145,"عاجل | زيلنسكي: دعمكم بالغ الأهمية ليس فقط للتقدم على ساحة المعركة وإنما للوصول إلى نقطة التحول لتحقيق النصر"
146,"عاجل | البيت الأبيض: بايدن رحب في اتصال مع نظيره الأوكراني  بانفتاح زيلنسكي على سلام قائم على مبادىء الأمم المتحدة"
147,"عاجل | الرئيس الروسي: من المهم العمل المشترك في مجال تطوير التقنية العالية"
148,"عاجل | إيلون ماسك: سأستقيل من رئاسة تويتر عندما أجد شخصا ""أحمقا"" لتولي المنصب وسأكتفي بعضوية فريق المنصة"
149,"عاجل | وزير الدفاع التركي: يمكن تقديم مساهمات جادة لإحلال السلام في #سوريا والمنطقة عبر الجهود التي ستبذل قريبا"
150,"عاجل | مسؤول حكومي للجزيرة: 11 قتيلا وعشرات الجرحى في انفجار صهريج غاز داخل نفق شمالي العاصمة الأفغانية كابل"
151,"عاجل | مصادر للجزيرة: وزراء الطاقة في الاتحاد الأوروبي يناقشون اليوم مقترحا جديدا لتحديد سقف أسعار الغاز"
152,"عاجل | رئيسة صندوق النقد الدولي في مقابلة مع سي بي إس: زيادة إصابات كوفيد في الصين نبأ مقلق للاقتصاد العالمي"
153,"عاجل | رويترز عن مسؤولين أوروبيين: ألمانيا صوتت لصالح وضع سقف لأسعار الغاز"
154,"عاجل | رويترز عن المرشد الإيراني: أفراد قوات الباسيج المتطوعون ضحوا بأنفسهم لإنقاذ الشعب من مثيري الشغب"
155,"عاجل | القوات الجوية الروسية: نجاح اختبار منظومة دفاعية جديدة مضادة للصواريخ والأهداف الجوية بحقل في كازاخستان"
156,"عاجل | حاكم دنيبروبتروفسك: الجيش الروسي يطلق صاروخين على منشأة للنقل في كريفي ريه ويلحق دمارا هائلا"
157,"عاجل | وزير الخارجية التركي: تركيا تأثرت كثيرا بما يحدث في #سوريا وعلينا مواجهة الإرهاب"
158,"عاجل | الحرس الثوري الإيراني يعلن مقتل أحد أفراد قوات التعبئة ""البسيج"" في احتجاجات بمدينة سميرم في أصفهان وسط البلاد"
159,"عاجل | وزير الخارجية البريطاني: السلطات الصينية سحبت بناء على طلبنا 6 من مسؤولي قنصليتها في مانشستر"
160,"عاجل | الأمين العام للنيتو: روسيا تريد تهديد وحدة أمن أوروبا وهذا لن يحدث"
161,"عاجل | مجلس الأمن البيلاروسي: الوضع ليس هادئا على حدودنا الجنوبية ومستعدون لأي أعمال استفزازية من جانب أوكرانيا"
162,"عاجل | بايدن: فوجئت بأن تسجيلات حكومية أخذت إلى مكتبي السابق ونتعاون مع التحقيق وأتمنى أن ينتهي سريعا"
163,"عاجل | بيان النيتو والاتحاد الأوروبي: سنعزز التعاون بمجالات الأمن بأوروبا ونكرس الإمكانات لتحقيق الأهداف المشتركة"
164,"عاجل | المدعي العام الإيراني: البرلمان والمجلس الأعلى للثورة يبحثان مسألة الحجاب وسيعلنان النتائج خلال أسبوعين"
165,"عاجل | العاهل الأردني: لن نقبل التطاول أو الاعتداء على أفراد أجهزتنا الأمنية الساهرين على أمن الوطن والمواطن"
166,"عاجل | الرئيس الصيني: نحرص على تضافر الجهود مع دول مجلس التعاون الخليجي وبناء معادلة جديدة في مجال الطاقة"
167,"عاجل | رويترز: قوات #سوريا الديمقراطية تعلن تعليق التنسيق والعمليات المشتركة مع التحالف الدولي بعد القصف التركي"
168,"عاجل | أردوغان: سنمضي في طريقنا لإنشاء منطقة عازلة على طول الحدود مع #سوريا"
169,"عاجل | وزيرة الطاقة الأمريكية: حققنا إنجازا علميا بميدان الاندماج النووي يمهد للتقدم في مجالي الدفاع والطاقة النظيفة"
170,"عاجل | وزير الخارجية الإيراني: ناقشت مع وزيرة خارجية فرنسا تعديل مواقف باريس تجاهنا واتفقنا أن الدبلوماسية هي الأفضل"
171,"عاجل | المدعي العام الايراني: البرلمان والمجلس الأعلى للثورة يبحثان مسألة الحجاب وسيعلنان النتائج خلال أسبوعين"
172,"عاجل | الخارجية الأمريكية: واشنطن والاتحاد الأوروبي يدعوان جميع الأطراف لضبط النفس وخفض التصعيد شمالي كوسوفو"
173,"عاجل | رئيس الوكالة الدولية للطاقة: يبدو أننا خرجنا من أزمة الطاقة هذا الشتاء ومخزوننا مرتفع جدا لكن الأزمة مستمرة"
174,"عاجل | وزارة الدفاع الروسية: قواتنا سيطرت بشكل كامل على مدينة سوليدار الليلة الماضية"
