tweet,label
activist asks court to reduce sentence from travel ban to execution,satire
"donald trump diagnosed with adtd, or attention deficit tweet disorder    donaldtrump  covid19  pandemic",fake
فوز ماكرون بولاية ثانية بعد إقناعه الناخبين ببرنامجه القائم على أنه ليس لوبين,satire
this precedented humanitarian gesture will drastically change the lives of millions while sparing their governments the trouble of collecting large amounts of  tax from multinational corporations.,satire
الدون كريستيانو رونالدو يقرر تحويل جميع فنادقه إلى مستشفيات للحجر الصحى ويتكفل برواتب جميع العاملين فيها الله عليك ما أروعك الإنسانية لا دين ولا جنسية لها يا سادة  الكورونا,fake
a  story by italian tv rai proves coronavirus was created in lab by chinese government.,fake
"ukrainian president zelenskyy calls russia's shelling on kramatorsk railway station in the east of the county a ""war crime"" as death toll rises to 52, local authorities say.

follow latest  s:",real
البحرين - حصريا في عيد الحب، رسالة بقلم جلالة ملك القلوب حمد بن عيسى آل خليفة,satire
"we’re in the middle of a global pandemic, and the trump administration is trying to prevent people from getting health care.",fake
"for more exemplary journalism, subscribe to our  letter.",satire
fire breaks out at lebanon’s zahrani oil facility,real
the onion looks at the pros and cons of banning books.,satire
israeli police find an intact copy of international law amongst sheikh jarrah family's home rubble,satire
"in ka covid 19 cases are "" not spiking "" ..!! so   sent only 90...@ .if   needs more purchase 1210 ""cycle pimps""..!!
 i.e administration.",fake
hungover astronaut wakes up in bed with no idea how he made it back to earth,satire
al jazeera takes the killing of shireen abu akleh to the icc,real
الخارجية الإيرانية: ندين بشدة العدوان الصهيوني على مطار  دمشق ونعتبره انتهاكا لسيادة  سوريا ووحدة أراضيها,real
a text claiming covid-19 can be transmitted by mosquitoes.,fake
most controversial statements by cpac speakers,satire
g20  g20riyadhsummit  g20saudiarabia,satire
uk mp david amess dies after being stabbed during meeting,real
congress approves empty paper towel roll for nasa to use as telescope,satire
doctors recommend vitamin c and fennel seed tea to help avoid the novel coronavirus.,fake
"ukraine says 4,554 people were evacuated from cities on wednesday",real
problematic friend argues that kanye makes some good points about shoes,satire
sisi prophecies egypt will endure seven years of crap followed by seven years of famine,satire
“i've always known this is a real this is a pandemic. i've felt it was a pandemic long before it was called a pandemic.”,fake
"a friend of mine checked the back of her clorox wipes and, what do you know, the human coronavirus is listed among the things that these wipes kill. i checked our wipes and, sure enough, it is listed. so my take is, as i suspected, this is no “new virus” as the  media wants us to believe.",fake
البيت الأبيض: الرئيس الروسي لم يظهر أي اهتمام لإيجاد طريق لإنهاء الحرب على أوكرانيا,real
coronavirus testing kits heading to the uk found to be contaminated with covid-19 | london evening standard,fake
"_claim that there have been tanks in the capital of latvia riga ""while people are staying home.""_",fake
armed men attack police station in karachi,real
???not one politician has died from the virus.??�,fake
"woman hurls insults at harasser, damaging public decency",satire
"un human rights' chief michelle bachelet says russia’s widespread and indiscriminate attacks in ukraine could amount to “war crimes“.

follow latest  s:",real
"the west must not try to “normalise relations” with putin after his invasion of ukraine, british pm boris johnson said, calling the crisis a “turning point for the world”.

follow latest  s:",real
اردوجان عندي وصفه طبيعيه تخلص العالم من الكورونا ومن الكمامات وترجعبالحياه الى طبيعتهاوتنقذ اقتصاد العالم من الانهيار ولا تبقي على احد مصابا بالكورونا والا وشفته باذن الله تعال لنعقد صفقه الفتح المبين . 972522878900 . انا حاضر ان اسلمها لكبارعلماء الطب ليتحققوا مما اقول .ناجحه .,fake
the next generation of time-squandering is here. join the onion on tiktok.,satire
"rt    live: powerful earthquake shakes turkey and syria as hundreds reported dead.

latest  s:",real
جحصع3 - حصري (للكبار فقط).. شاهد قبل الحذف.. صحف عربية عارية تحت المجهر.. والسبب!! لن تصدق!! (فيديو +18),satire
"throughout the years, the academy awards have had their share of shocking and scandalous moments. the onion examines the oscars’ biggest controversies of all time.",satire
معلومة_متداولة : أن استنشاق بخار الماء يقتل فيروس كورونا ١٠٠% اذا كان موجود  في الرئتين  أو الحنجرة أو الأنف فالفيروس لا يحتمل درجة حرارة بخار الماء الدافئة ..  ارجو نشر هذه المعلومه في صفحتكم وعلى أوسع نطاق . COVID2019  coronavirus  كورونا  كلنا_البليدة  الجزائر,fake
أي حد يتكلم علي لقاح لوهم كورونا القاتل المسرطن لا تثق فيه لانه يعمل مع جافي و بيل جيتس أردوغان في ختام ملاحظاتي ، أود أن أؤكد على استعداد تركيا للعمل بالتعاون مع التحالف العالمي للقاحات جافي وأصحاب المصلحة الآخرين للجهود المبذولة في فترة ما بعد الجائحة.,fake
إصابة اللاعب باولو ديبالا بفيروس  كورونا,fake
são paulo city hall schedules coronavirus tests by phone.,fake
"coming soon..this year's aaaj (alhudood's award for arab journalism) - dedicated only to the best (i.e. the worst) of arab journalism, for ever-lowering their media standards.",satire
college students are not at risk of being hospitalized for covid-19.,fake
"former russia president dmitry medvedev has vowed a harsh reaction to expulsion of russian diplomats by western governments.

follow latest  s:",real
trump wants billions for coronavirus; will spend it on wall,fake
israeli prime minister benjamin netanyahu expressed in a statement his frustration at the attempts by the original arab inhabitants of the city to drown israel in details and the vagaries of contractual agreements.,satire
missiles rain down across ukraine as russian troops push ahead in kyiv - get all latest  s as russia's invasion enters third day:,real
defeated man too tired to fight new $14.99 fee on phone bill,satire
"covid-19, take one minute and read. be understanding !!! a japanese doctor offers excellent advise on preventing covid-19. new coronavirus may not show symptoms for several days (14-27 days). how can one know if the person is infected? by the time he has a fever and/ or a cough and goes to the lung hospital, the patient may have 50% fibrosis, and then it is too late. taiwanese experts provide simple self-monitoring that we can do every morning: take a deep breath and hold your breath for more than 10 seconds. if you can do this successfully without coughing and without difficulty, without anxiety or chest tightness, it shows you do not have fibrosis and generally indicate no infection..",fake
طالبان تؤكد أن فتحها لأبواب المدارس أمام الإناث لا يعني دخولهن إليها,satire
biden warns xi of consequences if it offers support to russia.,real
شفته موح و شفت حتى خطاب المرحوم صدام حسين حكى عليه بلي راح يحاربوه به كما كانت العراق على ديدانها ، كورونا عائلة فيروسات كبيرة بزاف و كل خطرة يطورو شيء خاص,fake
the trump administration has had ???zero unfulfilled equipment and supply requests from state governors.??�,fake
"شو صحة هاي الخبر؟  مصيبة تحل على الإمارات.. إصابة محمد بن زايد ب""كورونا"" وقرار  بتأجيل اكسبو دبي 2020 | وطن",fake
قيس سعيد يطالب بتغيير الدستور الحالي لأنه لا يتماشى مع الدستور,satire
timeline: putin attacks ukraine – how it happened,real
trump's top coronavirus medical recommendations    donaldtrump  fda  prescriptions  disinfectant  easyoff  febreeze,fake
people are panicked about a covid-19 case at the dakar airport.,fake
the governor of sao paulo contracted covid-19 after being vaccinated with the sinovac biotech vaccine.,fake
fbi releases list of 10 weirdest people who are actually harmless once you get to know them,satire
study: average person’s life plan can only withstand 25 seconds of direct questioning,satire
biden vows ‘support’ in call with ukraine president zelenskyy,real
tens of thousands of koreans asked to expel chinese. the anti-chinese bandwagon swept across the world.,fake
"the last time  iraq became like america in recent memory was when america went there and broke everything, and now iraq is only just begun to recover..but with the checkpoints and everything, it feels like taking a step backwards.  bidenharrisinauguration",satire
ضبط  مواطن سوري، مقيم في إحدى الدول الصديقة  لسوريا – طبعا – متلبسا، ضبط بالجرم المشهود وهو يطالع خبرا عن مجريات الاجتماع الرباعي بين مصر والسعودية والإمارات والأردن، بعد أن كان قد وصل إلى نهاية الخبر تقريبا ولم يعد مجديا وضع حد لتدخله السافر.,satire
المتحدث باسم حركة النهضة التونسية: سياسة الهروب للأمام وفبركة السلطة قضايا للخصوم سياسة فاشلة,real
ethiopia’s warring sides agree ‘cessation of hostilities’: au,real
japan joins sanctions push against russia - live,real
"the fund will allow our team to exchange experiences and lessons-learnt with other  rooms regarding memberships and engaging audiences, and we will be able to develop and remodel our own membership program after testing it out over the past couple of years.",satire
"talks between ukraine and russia have started at the belarussian border, a ukrainian presidential advisor has said. follow the latest  s:",real
مراسلة  الجزيرة: وزير الأمن القومي الإسرائيلي ومجموعة من المستوطنين يقتحمون باحات المسجد الأقصى,real
_video shows a family that died from novel coronavirus._,fake
elon musk demands twitter servers explain what all these wires for,satire
dr. zhong nanshan said saline solution can kill the virus.,fake
photo of an old italian man crying after his health improved.,fake
image and statement from the prime minister of italy.,fake
رئيس جبهة الخلاص في  تونس للجزيرة: لا خروج من الأزمة في  تونس إلا عبر قيادة سياسية جديدة ومن خلال صندوق الاقتراع,real
president trump says he will be filing a personal lawsuit against china for causing the coronavirus    donaldtrump,fake
reality of fatherhood never truly dawned on man until he held newborn son’s hospital bill,satire
dr. fauci: paint gums of covid-19 carriers purple and give them a laxative    donaldtrump  coronavirus  andywarhol,fake
بوتين  يعلن تسجيل أول  لقاح مضاد لفيروس  كورونا في العالم .. والصحه العالميه خرجت بتصريح وقضت على امال بوتين وقالت : لا يمكن إنتاج أي لقاح لكورونا قبل اكتمال مرحلتي الاختبار الثانية والثالثة الصحه العالميه حجر عثر امام اي لقاح جديد حتى لو كان منزل من السماء لا تعترف به,fake
a doctor named leslie chow discovered the coronavirus and died after contact with coronavirus patients.,fake
السعودية تتهم  لجين_الهذلول بالتخابر مع دول لم تعتبر السماح بقيادة المرأة إنجازا,satire
"congresswoman shirley chisholm needed a sitcom. see more on  historyoftheworldpart2, all episodes now streaming only on hulu  sponsored",satire
white house runs out of toilet paper    donaldtrump  pandemic,fake
"“hey, get the hell out of here, you stupid kids!”",satire
السيسي يغلق معبر رفح ويقفل التلفاز ويهدد بقطع المصروف عن غزة إن بقيت تشاغب,satire
us forces save a dog from afghans fighting for his seat on an evacuation plane,satire
woman attempting to cultivate self-love forced to start completely from scratch after photo where nose looks kind of weird,satire
as india detected more  covid19 cases in mar-apr 2020 fake misleading claims around the pandemic rose. most common were communal rumours followed by false guidelines/notifications per   analysis.,fake
"rt   israeli ultra-nationalist jewish groups have entered the al-aqsa mosque compound, waving flags and chanting ahead of sunday’…",real
war-weary americans not sure how much longer they can occasionally glance at headlines about ukraine,satire
several killed as blast rocks iraqi city of basra,real
aoun orders emergency personnel into akkar to rescue remaining fuel,satire
وزارة الدفاع الروسية: تدمير ورش لصيانة أسلحة الجيش الأوكراني في مدينة كراماتورسك,real
sibling group chat used solely for expressing concern about mom,satire
hospitals in the united states get paid $750 for patients who die from the flu $17500 for covid-19.,fake
"coronavirus cdc patent, oct, 2019 preparedness exercise, fema prepares, bioweapon - sars, mers   *",fake
old dalit woman beaten up by christian missionaries in kerala.,fake
plane with 72 people on board crashes in nepal,real
بايدن يفكر بمنح الحرس الثوري الإيراني إجازة من قائمة الإرهاب إلى حين انتهاء الأزمة الأوكرانية,satire
manir hossain a 23-year-old man from india’s tripura died in a hospital in malaysia due to the new coronavirus.,fake
timeline: nepal air crashes since 2010,real
rt   the 2021 nobel peace prize has been jointly awarded to journalists maria ressa from the philippines and dmitry muratov from…,real
the us says it has 'highly credible' intelligence that russia will try to annex ukraine's luhansk and donetsk 'some time in mid-may'. follow latest  s:,real
posts shared on facebook and whatsapp claim a south african hospital found that traces of the novel coronavirus had survived on the surface of fresh food items for 12 hours during lab tests.,fake
"rt   exclusive: the taliban says it’s working to put together its own air force.

al jazeera’s   obtained access to…",real
pope emeritus benedict xvi dies at age 95,real
covid-19 is an abbreviation for coronavirus disease 2019 the year the first case was reported. but that hasn't stopped people from sharing other fake meanings.,fake
lula da silva narrowly defeats jair bolsonaro in brazil election,real
البيان الختامي للقمة الصينية العربية: احترام حق الشعوب  في طرق تطويرها للديمقراطية ورفض التدخل في شؤونها,real
"sources said government agents immediately set upon the man as soon as he arrived in syria, escorting him on visits to various security branches where he forgot his name, hometown and other milestones along memory lane.",satire
"the cdc ???adjusted the us covid deaths from 153,504 to 9,210.??�",fake
فيديوهات لآلاف الغربان تحلق فوق ووهان الصينية تثير الجدل :,fake
positivity rate shows herd immuntiy has been reached.,fake
"italian mp sara cunial says bill gates kills people with vaccines and ""terminator"" seeds and that he is behind the covid-19 pandemic.",fake
"thank you - extremely insightful. is there one or two trusted websites that you follow to provide a good summary &amp;  on covid? i follow   and he does a really good job. recent video touted importance of vitamin d and elderberry, among other things.",fake
"the number of people seeking refuge in other states has risen to 500,000 since russia invaded ukraine. follow the latest  s:",real
الإمارات تشتري نادي بيتار جيروزاليم بعد اطمئنانها إلى أن عنصريته تناسب معاييرها,satire
البيت الأبيض: الرئيس بايدن يعلن ولاية ألاباما منطقة كوارث كبرى بعد موجة فيضانات,real
neil gaiman blames sudden arrival in scotland from new zealand during lockdown on the faerie folk,fake
new york attorney general sues donald trump for fraud,real
area man got good amount of meat in that last bite,satire
الأردن تقمع مظاهرة داعمة لفلسطين لأن الملك يقوم بالواجب وزيادة,satire
fish and wildlife service announces great trout war has finally ended,satire
الرئاسة الأوكرانية: هناك نهاية واحدة للحرب بخسارة المعتدي ومعاقبته بقسوة,real
netanyahu explained that the right to return also includes jews who have passed away,satire
empty hospital lots and waiting rooms are indicative of a coronavirus hoax.,fake
german court sentences former syrian colonel to life in prison,real
"rt   today is  worldoceanday 

did you know at least eight million tonnes of plastics end up in the oceans every year?

we take…",real
"world leaders speak on final day of un general assembly 

latest  s:",real
"don't eat cabbage, as per who report, the coronavirus stays in cabbage for a very long time.",fake
بوتين: العلاقات بين روسيا والصين مستمرة في التطور رغم عدم استقرار الوضع الدولي,real
الجيش الأمريكي: مقاتلة صينية اقتربت بشكل غير آمن من مقاتلة أمريكية يوم 21 ديسمبر فوق بحر جنوب الصين,real
"meeting at the chariot held in  kalabari district of  karnataka

who is to blame for  corona?

why is the media not releasing it?

the  karnataka_bjp_government has ignored the  central_government's curfew",fake
لبنان - هبطت الليرة بشكل قياسي إلى مستوى أقل وأرخص من جمع الساسة اللبنانيين عامة ورياض سلامة شخصيا، لمعرفة المزيد من التفاصيل اقرأ المقال,satire
parliament elects prime minister ranil wickremesinghe as new president of sri lanka. live  s:,real
"traces of the coronavirus are found at at&amp;t stadium, home of the dallas cowboys    coronavirus  dallascowboys",fake
the sars-cov-2 has been engineered by man edited from the vih-1 virus.,fake
word search on box of frosted mini-wheats fucking impossible.,satire
"russia says first day of ukraine invasion ‘successful’

live  s:",real
مدة ستة أشهر والعالم عاجز ومرعوب من  كورونا ليخرج في الاخير  طبيب بيطري روسي ويكتشف اللقاح يبدو ان العالم اسطبل كبير ..!! العقود_يطالبون_بالترسيم,fake
نائب رئيس مكتب زيلنسكي: انقطاع الكهرباء عن خيرسون بشكل كامل بسبب القصف الروسي العنيف للبنية التحتية,real
the fellowship of national taiwan university hospital suggested the symptoms of critically ill patients with covid-19 is like the combination of sard and aids. even discharged patients could be a long-term asymptomatic carriers.,fake
"now available in english, the second-best satirical  website in the middle east, only rivalled by russia today.",satire
"while it is true that coronavirus can cause a sore throat and gargling with salt and warm water may make it feel better, it has no direct effect on the virus.  covid19  afaracare",fake
_civil services examination in india has been cancelled due to coronavirus outbreak._,fake
sick man slowly becoming enthroned in used tissues,satire
"kyiv mayor imposes curfew on the capital

live  s:",real
olly murs turns up at his local hospital with coronavirus but it turns out to be a hangover,fake
ملك  المغرب يؤكد تفوقه على أقرانه بعد أن وضع له ترامب نجمة على جبينه,satire
a facebook post wrongly suggests that the role of face masks for wildfire smoke protection and covid-19 are the same. they’re not.,fake
boris johnson proposes ‘moonshot’ plan to defeat covid using jedi space magic,fake
صحيفة فرنسية :  لاخوف على المنقبات فهن الأقل عرضة لفيروس  كورونا،حيث أنهن لايتبادلن القبل للتحية أويصافحن بالأيدي أوالأحضان وأجسامهن مستورة وهي النصائح التي أطلقها المختصون لتفادي العدوى وكذلك نقلها .   اللهم أعز الإسلام والمسلمين بالأمس كانوا يحاربون  النقاب والان يمدحونه,fake
_russian's health minister announced that starting october 5 his country would share a covid-19 vaccine with allies including venezuela._,fake
"the effects of  coronavirus on the  heart can possibly last a lifetime even in younger and healthier individuals, and there seems to be evidence that sars-cov-2 can cause  inflammation in the heart, according to two studies in jama cardiology.",fake
muqtada al-sadr announces 'full withdrawal' from iraqi politics after months of tensions,real
israel is at the forefront of the world in the number of tests for covid-19.,fake
mcconnell hospitalized after fall at dinner event in d.c. hotel,satire
ديلي ميل البريطانية: البروفيسور الروسي الكسندر تشوتشالين كبير اطباء الجهاز التنفسي في روسيا؛يعلن استقالته من لجنة الاخلاقيات بوزارة الصحة، على خلفية تسريع انتاج لقاح  كورونا وما يترتب على ذلك من خطورة على صحة الأنسان .,fake
التحربه_خير_برهان وصفه طبيعيه تخلص العالم من الكورونا خلال ياعه تعالوا جربوها امام كبار علماء الطب وصفه طبيعيه غير مركبه وليست كيماويه ولا بيولوجيه تقضي على الفيروس قضاء مبينا ، مجربه على البشر وعلى الحيوان ليست سحريه 972522878900 فليسالني عنها كبار علماء الطب وصفه لا مثيل لها .,fake
brazilian mps revealed the hospital claiming it treats 5000 covid-19 patients.,fake
the president of guinea bissau beat up a minister for squandering covid-19 funds.,fake
البيت الأبيض: بايدن وجه وزارة النقل بإجراء تحقيق كامل في الأسباب وستوفر إدارة الطيران الفدرالية تحديثات منتظمة,real
???the cdc may have to stop calling covid-19 an ???epidemic??? due to a remarkably low death rate.??�,fake
"canada raising tariffs on russia, belarus over ‘barbaric war’.",real
stoner architect drafts all-foyer mansion,satire
