tweet,label
وزير الصحة قال: المصابة بال  كورونا هي بحالة جيدة؟ لا داعي للهلع Sorry بس انو كيف يعني هيدي؟   حاكم مصرف لبنان : الليرة اللبنانية بالف خير .. علما انو صار ال  دولار ب 2500 ل ل  ? pardon are you kidding   سنموت_بعد_قليل  coronavirus,fake
هذولا كيف يأكلونه المشكله ان فيروس كورونا يجي من الحيوانات والحشرات انتبهو لعماركم الله يحفظكم,fake
إيقاف شحنة مساعدات إنسانية من الإمارات إلى أهل اليمن,satire
رويترز: قوات  سوريا الديمقراطية تعلن تعليق التنسيق والعمليات المشتركة مع التحالف الدولي بعد القصف التركي,real
هوبا اللهم لا شماته   لاحولا ولا قوة إلا بالله  تفتكروا ممكن يصعب عليكم ؟!!   صحيفة اليوم السابع /  .. مباشر قطر يكشف تفاصيل إصابة  تميم_بن_حمد ب  فيروس_كورونا  كورونا  تميم  قطر - عبر نبض,fake
سوريا - دعا الرئيس بشار الأسد لوقف تداول أخبار انهيار سعر صرف الليرة، حتى لا يتسرب شعور الفقر إلى قلب المواطن أثناء وقوفه لساعات في طابور الخبز والوقود، فيشعر بالنقص أمام شعوب العالم. لمزيد من التفاصيل حول القرار الجديد اقرأ المقال,satire
مصدر أمني للجزيرة: اشتباك يدور بين مسلحين والقوات الأفغانية مع بدء تمشيط للمبنى المطل على سفارة باكستان بكابل,real
رياض سلامة: ما في داعي للهلع الليرة بألف خير ودولارات كشك. وزير الصحة: ما في داعي للهلع فنجان قصعين وتحميلة بيمشي الحال.  كورونا  سنموت_بعد_قليل,fake
ليتها_الحدود    وزارة الصحة تعتمد شعار أن تأتي متأخرا خير من أن لا تأتي أبدا,satire
السلطات المصرية تقر بأن كل من يجرؤ على تصديق إشاعات هيومن رايتس ووتش أو نشرها هو إخواني إرهابي ابن ستين إرهابي يستحق أن يسحل ويخفى ويعذب ويعيش كل ما ذكر في التقرير وأكثر ثم يعذب مجددا ويقتل بضع مرات قبل أن يقتل بشكل نهائي.,satire
متحدث باسم القيادة الوسطى الأمريكية للجزيرة:  قوات  سوريا الديمقراطية تواصل تنفيذ الدوريات وحفظ الأمن,real
وزارة الدفاع الكورية الجنوبية: سول وواشنطن عقدتا اجتماعا استشاريا أمنيا في نوفمبر من العام الماضي,real
"مصادر تركية للجزيرة: الوفد الروسي أبلغنا موافقة ""قوات  سوريا الديمقراطية"" على المقترح شرط عدم حصول اجتياح تركي",real
صفحة تجارة إلكترونية تكتب الأسعار على ورقة وتضعها في زجاجة وترميها على جزيرة نائية,satire
رئيس كوريا الشمالية : ان فايروس  كورونا  لن ينتشر في بلادي  وسيتم إعدام أي شخص يصاب به.. امحق رئيس,fake
حسبت وجهة نظري المتواضعة في البداية هذا رايي الشخصي عزيزي القارئ ان فايروس كورونا بدأ من الصين بسبب ان الصينيين يأكلون بعض الاطعمة من غير طبخ و يأكلون حشرات و اسماك غير صحية و نظيفة و بدأ من ووهان و اصبح اقوى حتى وصل الى الكويت و البحرين و وصل ايطاليا و اسبانيا و غيرها من البلاد,fake
مجلس النواب الأمريكي يعلق أعماله إلى منتصف الخميس لانتخاب رئيس جديد له بعد إخفاقه في ست جولات سابقة,real
الاعلام العبري يكشف عن اصابة  محمد_بن_زايد بفايروس  كورونا   يا رب يكون الخبر صحيح .   شكرا_كورونا,fake
إدارة الطيران الفدرالية الأمريكية: عودة تدريجية لحركة الطيران الطبيعية في عموم الولايات المتحدة,real
سعيد يؤكد للمحتجين أن فتح مكب نفايات متفق مع الدستور,satire
الكثير من الصينيين يشاركون فديوهات عن انتشار الغربان فالصين وهذه واحده منها مع التعليق  مع الانتشار السريع لوباء الالتهاب الرئوي في ووهان ، تحلق العديد من مجموعات الغربان في هوبى وخنان وحتى تيانجين! كم من الناس سيموتون! !   كورونا_الصين,fake
أعلنت الصين رسميا ومنذ ساعات قليلة عن نجاح المصل الفلسطيني التى قدمته الدكتورة منار سعدي الشناوي الى وزارة الصحة الصينية لعلاج فيروس كورونا والذي أثبت فاعليته بنسبة 100 % على اكثر من 7 حالات تم شفائهم، لتعلن الصين أن العلماء الأطباء الفلسطينيين اثبتوا للعالم    تابع,fake
الأردن يشتري من إسرائيل مزيدا من مياه الأردن بسعر مخفض,satire
وسائل إعلام إسرائيلية تتحدث عن اصابه ولي عهد أبو ظبي  محمد_بن_زايد بفيروس  كورونا  وخبر أخر يتحدث بأن  ابن_زايد نقل إلى مستشفى كليفلاند في  أبو_ظبي ثم نقل إلى حجر داخلي في قصره.  اللهم آمين يارب العالمين، والله يجير المؤمنين والعباد من هذا الوباء ووباء الخليج  مبز و  مبس,fake
شويغو: الغرب يسعى لاستمرار الأعمال القتالية في أوكرانيا بهدف إضعاف روسيا,real
رويترز: الولايات المتحدة ترحب بالاتفاق الإطاري للانتقال السياسي في  السودان,real
فرح إسلامي عارم بانقلاب جيش  ميانمار  الذي يبيد الروهينجا على المستشارة التي لم تمنعه عن ذلك,satire
السلطات الأوكرانية بمقاطعة خيرسون: مقتل شخصين وإصابة آخرين في قصف روسي على المقاطعة,real
وزير الخارجية الروسي: الدول الأوروبية أصبحت غير قادرة على حماية مصالحها,real
مصر - الحكومة تكرم المرأة وتتولى الوصاية عليها بنفسها  لا_لقانون_الاحوال_الشخصية_الجديد,satire
جون كيربي للجزيرة: بايدن سيبحث مع زيلنسكي الوضع في ساحات المعارك وما يمكن لواشنطن القيام به لمساعدة أوكرانيا,real
فيروس_كورونا المربرب يعجبني ياخي ماعنده مزح  رئيس كوريا الشمالية كيم يونغ يؤكد أن فيروس كورونا لن ينتشر في بلاده لأنه سيتم إعدام اي شخص يصاب به  (صاحب الحلول السريعة ),fake
الرئيس الأمريكي ترامب يعان عقد صفقة بقيمة 1.525 مليار دولار مع شركة مودرنا - Moderna لتصنيع 100 مليون جرعة من لقاح كورونا بمجرد الموافقة عليه، تعليقي: يبدو ان اعلان روسيا عن لقاحها اطلق سباق لقاحات بعد سباق التسلح. د. حيدر سلمان,fake
مصدر بالمجلس الأعلى للدولة في  ليبيا للجزيرة: المجلس قرر العمل على إنجاز قاعدة دستورية تؤدي لانتخابات عامة,real
الدون كريستيانو رونالدو يقرر تحويل جميع فنادقه إلى مستشفيات للحجر الصحى ويتكفل برواتب جميع العاملين فيها الله عليك ما أروعك الإنسانية لا دين ولا جنسية لها يا سادة  الكورونا,fake
رئيس الوزراء السويدي: تركيا طلبت منا أشياء لا يمكن تلبيتها مقابل موافقتها على دعم انضمامنا للنيتو,real
رئيس كوريا الشمالية يقول ان فايروس  كورونا_الصيني  لن ينتشر في بلادة   لأنه سيتم اعدام اي شخص  يصاب بهذا المرض…  ما عنده كيري ميري,fake
أمير قطر يطلب من الولايات المتحدة ودول أخرى تنفيذ وعودها بالضغط على السعودية لإنهاء المقاطعة وإيجاد حل للأزمة نظير احتضان الدوحة لإتفاق المصالحة بين طالبان وأمريكا. - تعليق: دول العالم أجمع مشغولة بكيفية القضاء على كورونا وإعلام الدوحة مشغول بالسعودية! نسأل الله العافية والسلامة,fake
زوكربرغ يبتكر عالما موازيا يكون عرصا فيه أيضا,satire
أردوغان: سنمضي في طريقنا لإنشاء منطقة عازلة على طول الحدود مع  سوريا,real
الصين تقدم قرضا قيمته مليار دولار لأمريكا اللاتينية ودول البحر الكاريبي للحصول على لقاح الكورونا من الصين هذا بالضبط ما حذر منه تقرير للبيت الأبيض عن استراتيجيته لإيقاف التمدد الصيني,fake
⇦زعيم كوريا الشمالية يقول :  ان فيروس  كورونا لن ينتشر في بلاده لانه سوف يتم اعدام اي شخص يصاب بهذا المرض . صاحب الحلول السريعه.  ツ,fake
بيان قمة الدول السبع: سنواصل تنسيق جهودنا لتلبية احتياجات أوكرانيا الملحة من حيث المعدات العسكرية والدفاعية,real
الخارجية الإيرانية: إزالتنا من لجنة المرأة بالأمم المتحدة تتعارض مع ميثاق المنظمة الدولية وتمت بضغط أمريكي,real
وش_تعلمت_من_كورونا  كورونا_الجديد   معلومه لاتهمك .. كل مائه عام ينتشر وباء غامض   عام 1720  انتشر الطاعون وكان بسبب القوارض  عام 1820 الكوليرا بسبب الارز الملوث  عام 1920 الانفلونزا الاسبانيه وهي الاشد فتكا انتشرت بين الجيوش  عام 2020  كورونا  ويقال بسبب خفاش,fake
تحالف الصين وإيران يعقد الأمور أمام شاب يخلط بين الشيعة والشيوعية,satire
للمعلومة بيل غيتس يدعم لقاحات كورونا فايروس عشان يحط فيها شريحة ذكيه تدخل جسم كل إنسان ويصير هو المسيطر ع العالم ، يعني بكره تصيررين زين الجوال في يده يتعقبك وين ما كنت و يتحكم في العالم زي ما يبغى ... ابحث عن الموضوع وتعرفي اكثر,fake
الاتحاد الأوروبي يقرر ضم المغرب بصفة عضو مراقب للحدود,satire
"شو صحة هاي الخبر؟  مصيبة تحل على الإمارات.. إصابة محمد بن زايد ب""كورونا"" وقرار  بتأجيل اكسبو دبي 2020 | وطن",fake
سلطات الاحتلال تبلغ الجانب الفلسطيني باستشهاد الشاب الذي تعرض لإطلاق نار في بلدة حوارة جنوبي نابلس,real
وزير الدفاع الأمريكي: أوروبا تواجه أسوأ أزمة أمنية منذ نهاية الحرب العالمية الثانية بسبب طموحات الكرملين,real
لبنان تعلن انتهاء العام الدراسي بسبب انتشار مرض كورونا:,fake
واشنطن بوست عن مسؤولين أمريكيين: إدارة بايدن ستزود أوكرانيا بتقنية تسمح بتحويل الذخائر الجوية إلى قنابل ذكية,real
"الاتفاق_الابراهيمي - ""قطار السلام"" يدهس الفلسطينيين...نظرا لسرعة قطار التطبيع، يبدو أن العين الإماراتية فوتت بعضا من المحطات أثناء تتبع مسيره، نذكر منها محطة التوسع الاستيطاني والقمع في الشيخ جراح والحرب على غزة وحقيقة أن الشعب الفلسطيني يعيش تحت نظام احتلال وفصل عنصري",satire
اصابة ولي عهد ايران محمد بن زايد بفيروس كورونا,fake
ماكرون عرض لعبة حجرة ورقة مقص لكن  السيسي رفض,satire
بوريل: لا يزال الاتحاد الأوروبي ملتزما بتقديم الدعم العسكري لأوكرانيا وشركاء آخرين على حد سواء,real
رئيس كوريا الشمالية يقول ان فايروس كورونا لن ينتشر في بلاده لأنه سيتم اعدام اي شخص يصاب بهذا المرض على الفور…  صاحب الحلول السريعة   كورونا   كوريا_الشمالية   كم_جونغ,fake
السيسي يوضح لماكرون مدى تأثير ارتداء النظارة الشمسية على اعتبار الرئيس دكرا حقيقيا,satire
حركة حماس: لن نسمح للاحتلال بتغيير المعادلات وسنواصل الدفاع عن أبناء شعبنا في كل أماكن وجوده,real
وزير الدفاع الروسي: علاقتنا مع الحلفاء في بيلاروسيا تكتسب أهمية خاصة في مواجهة ضغوط الغرب غير المسبوقة,real
السيسي يوقع اتفاقية إيلاج ماسورة إسرائيلية في مصر,satire
كورونايكره لمنقبات عنوان جريدة فرنسية الترجمة المنقبات لن يخفن من العدوى، وهن الأقل عرضة لكورونا لأنهن لا يصافحن ولا يقبلن ولا يعانقن، وهذه هي الشروط أو بالأحرى الاحتياطات الثلاثة الموصى بها من طرف العلماء لتفادي الإصابةإلى نساء العالم تدين النقاب فهو العلاج  الوحيد ضد كورونا,fake
بينيت يهدد باغتيال محمود عباس إن قصر مجددا في اعتقال الفدائيين قبل تنفيذ عملياتهم,satire
