,tweet,label
0,أنباء عن وجود حكومة في لبنان بعد صدور قرار بمنع السوريين من التعليم,satire
1,السيسي ينشئ صندوقا وطنيا لدفن المعتقلين,satire
2,بعد إغرائه بعقد عمل وحياة رغيدة، مالك نادي النصر يسحب جواز سفر رونالدو ويمنعه من السفر,satire
3,مطالب شعبية بشطب كلمة «جواز» رسميا من جوازات السفر السورية,satire
4,انقطاع الكهرباء يتسبب بمرور بابا نويل فوق سوريا ولبنان دون ملاحظتهما,satire
5,نواب من حزب مستقبل وطن يؤكدون أن لا طريق للمستقبل إلا من خلال بيع الماضي,satire
6,وفا تل تعد السوريين بتحول ثوري إيراني جمهوري إسلامي بالاتصالات السورية,satire
7,تحقيقات الجيش الإسرائيلي تثبت أن القناص الذي قتل جنى لم يتعمد إصابتها بخمس رصاصات في الرأس والرقبة والصدر,satire
8,العفو عن نواب مصريين متهمين بتهريب الآثار كونها فقدت قيمتها أمام إنجازات السيسي,satire
9,القضاء العراقي يرفض تصديق فكرة وجود ناشط لم يشتم الحشد الشعبي,satire
10,ملك المغرب يشعر بالقلق لمدى تشابه علم فلسطين بعلم الصحراء الغربية,satire
11,هرتزوغ يهدي ملك البحرين بروازا فيه صورة للفلسطينيين الذين قتلهم الجيش الإسرائيلي منذ التطبيع لغاية اللحظة,satire
12,محمد بن زايد ينقل لهرتزوغ تحيات تميم بن حمد وقائمة أسماء المشجعين الداعمين لفلسطين,satire
13,بن غفير يوعز للإمارات بتمويل فيلم ملحمي عن قيام إسرائيل يدحض ادعاءات فيلم فرحة,satire
14,إردوغان يقصف الشمال السوري بما أن الطقس بارد ولا يوجد عدس في المنزل والتلفاز معطل,satire
15,صحفي إسرائيلي يطالب بقتل خمسة صحفيين فلسطينيين انتقاما لكرامته المهدورة,satire
17,إيلون ماسك يعيد حساب ترامب ليشتت الناس قليلا عن غبائه,satire
18,تصفيق حار بعد تمرير وثيقة 12/فق/56/هه/97 في جلسة قمة المناخ,satire
19,قادة العالم يأخذون إجازة طويلة في شرم الشيخ,satire
20,الإسرائيليون يختارون نتنياهو بطلا لمسابقة قتل الفلسطينيين,satire
21,أميركا تدعو البرازيليين لاحترام نتيجة الانتخابات وعدم الانجرار إلى حرب أهلية تدعم اليمينيين فيها بالمال والسلاح والخبراء والسي آي إيه,satire
22,السيسي يؤكد استعداده لتعويم مصر بمن فيها إذا حصل على مليار دولار إضافي,satire
23,الحكومة العراقية تستنكر نشر خبر توزيعها 2.5 مليار دولار من أرباح ملاكها على أنه سرقة,satire
24,دبي تمنح رومان أبراموفيتش الإقامة الذهبية عن فئة المبدعين في تفادي العقوبات,satire
25,نصر الله ينتقد إيران في قضية مهسا أميني لاعتراف الحكومة بمقتلها من الأساس,satire
26,بوتين لأوروبا: إعمل غاز و إرمي في البحر,satire
28,التلفزيون الإيراني: مسيرات عفوية في كافة أنحاء إيران لشكر الله على نعمة المطر,satire
29,بوتين يخطط للانتصار على أوكرانيا من خلال تعبئتها بمدنيين روس,satire
30,السلطة الفلسطينية ترفض ترك إسرائيل منفردة في الميدان بمواجهة شباب الضفة,satire
32,الأردن يفتح تحقيقا بمزاعم هيومن رايتس ووتش حول وجود حيز مدني,satire
33,قيس سعيد يصدر قرارا بحل الأزمة الاقتصادية في تونس,satire
34,محور المقاومة يعزز صفوفه بمجموعة من الخطباء المفوهين,satire
35,الحكومة السورية تؤكد أن تفشي الكوليرا إشاعة مثلها مثل كوفيد والمعارضة والحرب,satire
36,البنوك اللبنانية تطالب النظام مدها بالسلاح للصمود في وجه الشعب,satire
37,مسؤولون أردنيون يهرعون لتفقد المبنى المنهار وزوايا التصوير المناسبة,satire
38,"محمد بن سلمان يؤكد أن الدنيا حظوظ
 
 وفاة_الملكة_اليزابيث",satire
39,الصحافة السورية تؤكد: رحلت إليزابيث وبقي الأسد,satire
40,دول الخليج تعلن توسيع نطاق الخدمات الرقابية لديها لتشمل خدمات البث العالمية,satire
41,فرنسا تدين رفعت الأسد بعد تأكدها بشكل قاطع من انتهاء صلاحيته,satire
42,الإعلام الأردني ينأى بنفسه عن التدخل بشؤون الآخرين,satire
43,دي دبليو تنقل مقرها إلى إسرائيل بعيدا عن القضاء الألماني المنحاز للفلسطينيين,satire
44,أبو مازن يتوجه إلى وزارة الدفاع الإسرائيلية ليعلن عن حبه لأجنبية اسمها إسرائيل,satire
45,الدولة المصرية تتراجع عن إزالة قبر طه حسين وتكتفي بتشويهه,satire
46,جهود دبلوماسية إيرانية لحل الأزمة السياسية في العراق,satire
47,الصدر يضرب عن الطعام احتجاجا على اعتزاله السياسة,satire
48,الصدر يعلن الاعتزال النهائي للسياسة لحين تغييره رأيه,satire
49,إشادة دولية بوقف إسرائيل قصف غزة وإعادة استقرار الحصار والقتل السلمي البطيء,satire
51,ملك المغرب يمد يده للجزائر كي تقبلها,satire
52,ابن سلمان ينفق 500 مليار دولار لينحت بعصة للعالم طولها 170 كيلومترا في الصحراء,satire
53,الإمارات تتعهد بملاحقة إسرائيل وكشف مجازرها مجزرة مجزرة وبناء الملاعب والملاهي فوقها,satire
54,بعد استضافته ابن سلمان وابن زايد، ماكرون يزور قبر الحجاج,satire
55,قيس سعيد يؤكد أنه ليس طامعا برئاسة تونس لأنه أساسا هو تونس,satire
57,تحقيق أمريكي يخلص إلى أن شيرين رفضت بوفاتها فرصة للسلام,satire
58,محمود: شيرين مواطنة أميركية وبلدها أولى بالتحقيق في مقتلها,satire
59,الاتحاد الأوروبي يقرر ضم المغرب بصفة عضو مراقب للحدود,satire
61,معهد غوته: أرسلنا الدعوة ليعقوب، الذي احتل محمد الكرد بيته وصندوق بريده,satire
62,السيسي يوقع اتفاقية إيلاج ماسورة إسرائيلية في مصر,satire
64,قيس سعيد يعزل قاضية بتهمة ممارسة حياتها,satire
65,إعلان ثلاثة أيام حداد وطني على الرئيس أبو مازن بعد أنباء عن بقائه على قيد الحياة,satire
66,عون: لو انتخبتم فريقي لاستخرجنا الغاز وبعناه وصرفنا أمواله ولم نبق للعدو الإسرائيلي منه شيئا,satire
67,الحزب الحاكم يعتذر عن التصريحات المسيئة للاقتصاد الهندي,satire
68,آمبر هيرد تثري حجج الرجال بعد 3500 سنة من تكرارهم قصة زليخة والنبي يوسف فقط,satire
69,نبيه بري يتسلم من نبيه بري رئاسة مجلس نبيه بري,satire
70,الحكم بسجن أبو الفتوح ١٥ سنة بعد إدانته بمحاولة الترشح لانتخابات حرة ونزيهة,satire
71,البرهان يرفع حالة الطوارئ ليحل هو شخصيا مكانها,satire
72,إردوغان يؤكد للاجئين السوريين أن عودتهم إلى بلادهم ستكون طوعية ولن تفرض عليهم إلا بالقوة,satire
73,قيس سعيد يستثني تونس من الحوار الوطني,satire
74,الأردنيون يشكرون الملك عبدالله على إحباط مخططات الأمير حمزة وإلا لكانوا سيعانون من البطالة والغلاء والفقر والقمع والفساد,satire
75,جمال مبارك: بابا، انتصرنا على الشعب وثورة يناير,satire
76,وصول مفاوضات تشكيل حكومة عراقية لمفترق طرق مسدودة,satire
77,الدبيبة وباشاغا ينعشان آمال الشعب الليبي بتغيير الوضع الراهن والعودة إلى نقطة الصفر,satire
78,تجربة لبنانية جديدة تتمثل بالتصويت لذات المرشحين وتوقع نتيجة مختلفة,satire
79,السلطات اللبنانية تجدد حظر التجول على المخيمات لحين الانتهاء من فرز الأصوات وتشكيل حكومة وعودة اللاجئين إلى دولهم,satire
80,بايدن: ما زلت لا أعلم ماذا حدث في جنازة شيرين أبو عاقلة,satire
81,تحقيق إسرائيلي يخلص إلى أن الجيش حاول إلزام المشيعين بالتباعد الاجتماعي,satire
83,بينيت يرفع قدميه على مكتبه ويأخذ غفوة خوفا من عواقب اغتيال إسرائيل لشيرين أبو عاقلة,satire
84,الإعلام الغربي يؤكد اعتراض شيرين أبو عاقلة لقطعة حديد وبارود صغيرة كانت تسبح في الهواء,satire
86,بينيت يهدد باغتيال محمود عباس إن قصر مجددا في اعتقال الفدائيين قبل تنفيذ عملياتهم,satire
87,سيادة الرئيس الأسد يلم شمل معتقلين وذويهم في سجن أكبر,satire
88,عباس وعبدالله الثاني يناقشان تطور الأوضاع في القدس وكأن الأمر يعنيهما,satire
89,فوز ماكرون بولاية ثانية بعد إقناعه الناخبين ببرنامجه القائم على أنه ليس لوبين,satire
90,الجيش اللبناني يغرق قارب مهاجرين ظنوا أنهم قادرون على الهجرة مثل الدولار,satire
91,منصور عباس ينسحب من الحكومة الإسرائيلية لعدم تقيدها بمبادئ الوسطية في التطرف,satire
92,إسرائيل تمنع متطرفين من اقتحام الأقصى التزاما منها بمبادئ عدم التعرض لصواريخ جديدة,satire
93,السلطة الفلسطينية تعرض الوساطة بين الأشقاء الإسرائيليين والفلسطينيين,satire
94,الأردن يؤكد أنه لم يكن يرغب باستخدام برامج تجسس إسرائيلية لو كان هناك بديل عربي,satire
95,حمزة يتخلى عن لقب أمير لفقدان المؤسسة الملكية وطنيتها وحبها للناس أثناء نهبهم وقمعهم,satire
96,حصريا للحدود: الأردن رفض حضور قمة النقب لعدم تحمله رؤية إسرائيل في علاقة مع أطراف أخرى,satire
97,المشاركون في قمة النقب يعيدون تمثيل فيلم The Human Centipede,satire
98,العالم يحث إيلون ماسك على تنفيذ تهديده بإنشاء منصة تواصل جديدة ليرحل إليها هو وجمهوره,satire
99,صورة حصرية للأعراب الأشد كفرا ونفاقا,satire
100,طالبان تؤكد أن فتحها لأبواب المدارس أمام الإناث لا يعني دخولهن إليها,satire
101,الأسد في زيارة تاريخية لمحور الرجعية البترودولاري الإمبريالي,satire
102,بايدن يفكر بمنح الحرس الثوري الإيراني إجازة من قائمة الإرهاب إلى حين انتهاء الأزمة الأوكرانية,satire
