,tweet,label
4837,"no big deal. just a picture recently taken in wuhan, china... the birth place of covid-19.",fake
22,the president cryill ramaphosa has asked all foreign nations to depart south africa before 21 june 2020 due to increasing cases of covid 19 .,fake
100,"says rudy giuliani ""bought $2m in shares of novartis, a primary supplier of hydroxychloroquine"" in early february.",fake
39,alert: americans with coronavirus symptoms are being asked to cough directly onto president trump,fake
3622,claim: 20 countries with the most  covid19 cases and equalling india’s population have 84x india’s reported cases &amp; 200x deaths: lav agarwal of health ministry fact: true but hides the fact that these countries have also conducted 28x the tests india has,fake
2505,president donald trump announced a vaccine by roche diagnostics.,fake
4289,david essex suggests the human race should overcome the coronavirus pandemic by building a brave new world - underground!,fake
2180,a whatsapp message claims that italy announced the cure for covid-19.,fake
3778,image of covid-19 infected person's throat.,fake
1449,brazilian states receive a r$ 16450 extra funding from the federal government for each covid-19 death.,fake
31,doctored image of president donald trump shared claiming he asked people to chant hare krishna hare rama.,fake
5285,bill gates is plotting to use covid-19 testing and a future vaccine to track people with microchips.,fake
5717,rock legend beats bug    rollingstonevaccineforcv  keithholdskeytovirusvaccine  rockandrollvaccine,fake
4914,inhaling eucalyptus prevents or eliminates the new coronavirus,fake
5745,"it's racist to call it ""wuhan virus"" or ""wuflu""

you will refer to it as
covid-19 

chinese
originated
viral
infectious
disease
-
19",fake
775,"i am also doing this, taking vitamin d for covid.

i think the evidence is moderate-ish right now, not conclusive. but there's no real downside at all to taking moderate doses afaik. and people living in the northern latitudes in the winter probably need vitamin d anyways.",fake
2852,a spike in covid-19 cases in the u.s. seen in june 2020 is due to increased testing.,fake
5638,video shows coronavirus infected notes scattered on indore streets being sanitized.,fake
5005,people will not be allowed to organize a funeral for any family members who die of covid-19. instead the state will take care of the disposal of the body.,fake
5661,people said there will be flying cars in 2020 while we are still learning to wash our hands.  covid19,fake
3330,hope on the horizon as white house announces major breakthrough in search for covid-19 scapegoat,fake
