,tweet,label
0,"معطيات إضافية حول رواية ""عيون الظلام"" التي كتبها الأمريكي""دين كونتز"" ونشرها سنة 1981، وعن مدى تطابقها الغريب مع وباء  كورونا، بما في ذلك ذكره للسنة التي يحدث فيها الوباء وهي 2020",fake
1,حذاري من اللقاح المطور روسيا ضد  فيروس_كوفيد19 على عجالة، فلقد تجاوز المرحلة الثالثة من تجارب اللقاحات.. والتاريخ ارخ العواقب الصحية الوخيمة عند استعجال تصنيع اللقاحات للعامة  روسيا  CoronavirusVaccine  COVID19,fake
2,١- سبحان الله أول مره نفرح بقدوم الغبار والسبب كلنا عندنا معلومه بأن الفيروسات الغير مرئيه لايقضي عليها الا الغبار فسبحانك ربي ما أعظمك وما ألطفك بعبادك سبحان الله الذي سير الغبار إلينا في وقت لم نعتاد على الغبار في مثل هذا الوقت وهذا الشي يجب ان نتفكر به    كورونا_في_الكويت,fake
3,كوريا الشمالية : اعدام أي شخص يصاب بفيروس  كورونا منعا لانتشاره بالبلد  يغرد وحيدا,fake
5,الفرنسية مارين لوبان تقول لن نقبل أي مسؤول عربي في مستشفياتنا للتداوي من فيروس كورونا و تضيف كان لديهم 60سنة بين أيديهم لبناءمستشفيات محترمة و مشرفة لكنهم لم يفعلوا ذلك أتمنى أن لايستقبلهم أي مستشفى في أوروبا وأن يعالجوا في مستشفيات بلدانهم ليعرفوا حجم الضررالذي تسببوافيه لشعوبهم,fake
6,أول حالة  كورونا في  لبنان   لا_داعي_للهلع  سنموت_بعد_قليل,fake
7,لا تهزني فإني ممتلئ باليانسون  كورونا  لبنان   سنموت_بعد_قليل,fake
8,الصين فيها مليار ونص وما طلع معن نكت أد ما نكتوا علي ب  لبنان     كورونا  سنموت_بعد_قليل  لا_داعي_للهلع,fake
9,مباشرة من ⁧ البيت_الأبيض⁩ لم ينتبهوا للكاميرا مقطع مسرب لفريق عمل ترامب يتكلمون عن  ⁧ كورونا_فيروس⁩  بأنه خدعة وأنهم ملقحون ضده فلا داعي للبس الكمامات عندما لا يكون البث. ويخبر أحدهم أن الوفيات مزورة وأن الفيروس ضعيف جدا حسبنا الله ونعم الوكيل.,fake
10,وباء قاتل كل 100 سنة وسر خطير في رقم 20  1720 : الطاعون - مرسيليا - فرنسا .. 1820 : الكوليرا - اندونيسيا ، تايلند ، الفلبين .. 1920 : الانفلونزا الاسبانية - اسبانيا .. 2020 : كورونا - ووهان - الصين ..  فيروس_كورونا,fake
11,التسابق ف اعلان لقاح كورونا من روسيا وامريكا وطلب ترامب ١٠٠ مليون جرعة من الشركة المصنعة ينبى بقرب انتهاء الجانحة وسيلقى بضلاله ع الاقتصاد العالمى وسرع عودة الحياة إلى طبيعتها ويزيد ف استهلاك النفط، وبالتالي تحسن اقتصاديات وتحسن أسواق المال العالمية ومنها سوقنا  الاسهم_السعودية,fake
12,يهود في نيويورك عندهم جنازة طلب منهم البوليس عدم التجمع بسبب فايروس  كورونا ما انصاعوا للتعليمات لأنهم يعتقدون ان الفيروس ما يضرهم لأنهم أبناء الله اشتغلوا عليهم رشاشات ماء المطافي,fake
13,“لقد فقدنا السيطرة، الوباء قتلنا نفسيا وبدنيا و عقليا، لم نعد نعي ماذا سنفعل، لقد انتهت جميع الحلول على وجه الأرض، الحل متروك للسماء”  جوسيبي كونتي - رئيس وزراء ايطاليا  كورونا,fake
14,من أجل الصين نصلي   صورة مسربة من مدينة  ووهان في الصين تظهر حجم الناس الذي تنهار في الشوارع بسبب  فيروس_كورونا,fake
15,صورة ل  كورونا المصرية  الله اكبر وتحيا مصر..  الصين تعلن رسميا منذ سا عات نجاح المصل المصرى التى قدمته الد كتورة هالة  وزيرة الصحة المصرية  الى وزارة الصحة الصينية والذى اثبت…,fake
16,عليكم بالوضوء فهو يطهر الجسم من الفايروسات والجراثيم وعليكم بكثرة ذكر الله عزوجل     كورونا_في_الكويت,fake
17,"كل نصائح الأطباء للوقاية من التعرض لفيروس كورونا تنصب على ""غسل اليدين""،ونحن كمسلمين يأمرنا ديننا على غسل اليدين في جميع الأحوال في كل يوم،بدءا بالوضوء ما لا يقل عن خمس مرات،فهل هناك دين أعظم من ديننا؟  فيروس_كورونا_الصين   غسل_اليدين",fake
18,إعلام العدو : إصابة ولي عهد أبو ظبي محمد بن زايد بفيروس  كورونا  لعمى اذا صحيح,fake
19,لا داعي للهلع اصلا ما بتلحقوا تهلعوا شكلنا  سنموت_بعد_قليل   كورونا  وزارة_الصحة,fake
20,رواية عيون الظلام لكاتب امريكي  صدرت قبل 39 سنه تكلم عن مرض كورونا يظهر في عام 2020 تصنعه الصين ويخرج من مختبرات الجيش  الصيني ويصعب السيطرة عليه,fake
21,التحربه_خير_برهان وصفه طبيعيه تخلص العالم من الكورونا خلال ياعه تعالوا جربوها امام كبار علماء الطب وصفه طبيعيه غير مركبه وليست كيماويه ولا بيولوجيه تقضي على الفيروس قضاء مبينا ، مجربه على البشر وعلى الحيوان ليست سحريه 972522878900 فليسالني عنها كبار علماء الطب وصفه لا مثيل لها .,fake
22,أينانيوز/ متابعة/ كشفت مصادر محلية في دولة الإمارات، الاربعاء، عن إصابة ولي عهد أبوظبي محمد بن زايد، بفيروس كورونا المستجد. ونقلت وسائل اعلام خليجية، عن تلك المصادر، قولها، إن اجتماعات عقدت على أعلى المستوى لبحث محاولة السيطرة على تفشي الفيروس في الإمارات بعد تفاقم أعداد المصابين,fake
23,البعوض قادر على نقل كورونا فايروس بين البشر,fake
24,كشفت مصادر موثوقة في الإمارات، عن إصابة ولي عهد أبوظبي محمد بن زايد، بفيروس كورونا القاتل، مشيرة إلى أن اجتماعات عقدت على أعلى المستوى لبحث محاولة السيطرة على تفشي الفيروس في الإمارات بعد تفاقم أعداد المصابين,fake
25,لبنان تعلن انتهاء العام الدراسي بسبب انتشار مرض كورونا انا:,fake
26,ماذا في  اللقاح المنتظر؟  ديفيد_آيك في لقاءه الخامس يبين ما يبيتونه للبشرية عبر لقاح  كورونا المنتظر,fake
27,خبير صيني يجزم ويؤكد ان استنشاق بخار الماء يقتل فيروس كورونا ١٠٠% اذا كان موجود  في الرئتين  أو الحنجرة أو الأنف فالفيروس لا يحتمل درجة حرارة بخار الماء الدافئة ..   فيروس_كورونا  كوفيد_19  حظر_كامل   العالم  العالم_في_مواجهة_كورونا   كورونا  يوم_الجمعة,fake
28,"رئيس الوزراء الإيطالي:  ""انتهت حلول الأرض، الأمر متروك للسماء""  إيطاليا فقدت السيطرة رسميا...  كورونا",fake
29,رئيس كوريا الشمالية يقول ان فايروس  كورونا_الصيني  لن ينتشر في بلادة   لأنه سيتم اعدام اي شخص  يصاب بهذا المرض…  ما عنده كيري ميري,fake
30,صورة لوباء  كورونا بعد ان تم تكبيره ل2600 مرة تم التقاطها بواسطة اجهزة منظمة الصحة العالمية للأوبئة  شخص_يسجد_لفتاه,fake
31,القناة العبرية ١٢: تعلن إصابة ولي عهد أبو ظبي محمد بن زايد بفيروس  كورونا,fake
32,تفعلها روسيا للمرة الثانية بعدما سهلت للبشرية الوصول للقمر والآن وتذهل العالم بإختارع اول لقاح ضد Covid_19 ويأكد الرئيس (بوتن) بأنه اول لقاح رسمي يعتمد واضاف ايضا بان ابنته كانت من ضمن الاشخاص الذي تم تلقيحهم به,fake
33,كل مئة عام وباء كبير !! سنة ١٧٢٠   الطاعون  ( ١٠٠ ألف قتيل ) سنة ١٨٢٠   الكوليرا   ( ١٠٠ ألف قتيل ) سنة ١٩٢٠ الإنفلونزا الإسبانية ( ١٠٠ مليون قتيل ) سنة ٢٠٢٠  كورونا   ( .... .... )والله اعلم  فيروس_كورونا_المستجد,fake
34,وسائل إعلام إسرائيلية: ولي عهد أبو ظبي محمد بن زايد أصيب بفيروس  كورونا وأكدت الباحثة الأميركية المختصة في الشأن الخليجي كارين آن كاري ان عاملة فليبينية في قصر العائلة نقلت العدوى لابن زايد وقد نقل إلى مستشفى كليفلاند في أبو ظبي ثم نقل إلى حجر داخلي في قصره   هو_الله,fake
35,أخبار جيدة كورونا فيروس أوهان يمكن معالجته بماء الثوم الطازج المغلي  طبيب صيني مسن اثبت فعاليتها وكذلك عدة مرضى استخدموها واثبتوا فعاليتها خذ ٨  فصوص ثوم كبيرة واهرسها.. اضف ٧ كؤوس ماء ثم أغلى الخليط.. كل الثوم واشرب من الماء المغلي. بين ليلة وضحاها (في غمضة عين) ستشعر بالتحسن,fake
36,باالبلدي  ليقيكم من خطر  كورونا_فيروس عليكم باالموز بعدالله  وبأذن الله لن يصيبكم شي  واليمن والحمدلله غنيه باالموز  الموز,fake
37,اخبار_العالم   l     فيروس_كورونا_الصين    الصين تعلن التوصل لدواء فعال ضد  فيروس_كورونا,fake
38,خبير صيني يجزم ويؤكد ان استنشاق بخار الماء يقتل فيروس كورونا ١٠٠% اذا كان موجود  في الرئتين  أو الحنجرة أو الأنف فالفيروس لا يحتمل درجة حرارة بخار الماء الدافئة ..  ارجو نشر هذه المعلومه في صفحتكم وعلى أوسع نطاق,fake
