"full_text","source"
"عاجل | مكتب رئيس الوزراء الإسرائيلي: نشر فيديو منغيستو خدعة تؤخر أي فرصة للتوصل إلى صفقة","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | الرئاسة التركية: أردوغان أكد لبوتين في اتصال هاتفي استعداده للعب دور حاسم بعملية السلام بين روسيا وأوكرانيا","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | الكرملين: بوتين وأردوغان بحثا تطبيع العلاقات السورية التركية في سياق مبادرة روسية لإطلاق مشاورات ثلاثية","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | الكرملين: بوتين وأردوغان يبحثان هاتفيا الوضع في شمالي #سوريا وإنشاء مركز لتوزيع الغاز في #تركيا","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | الكرملين: بوتين وأردوغان يبحثان هاتفيا تبادل الأسرى بين روسيا وأوكرانيا واتفاق تصدير الحبوب","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | الكرملين: بوتين وأردوغان يبحثان هاتفيا تبادل الأسرى بين روسيا وأوكرانيا وتصدير الحبوب","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | كتائب القسام تعرض رسالة مصورة للجندي الإسرائيلي الأسير لديها أفرها منغستو يطالب فيها إسرائيل بتحريره","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | رئاسة الاتحاد الأوروبي: القصف الروسي لمدينة دنيبرو جريمة حرب","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | رئيس الوزراء البولندي: أدعو ألمانيا لإرسال جميع الأسلحة المطلوبة إلى أوكرانيا","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"
"عاجل | مراسل #الجزيرة: ارتفاع عدد قتلى هجوم دنيبرو جنوبي أوكرانيا إلى 40 واستمرار البحث عن ناجين تحت الأنقاض","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
